Event Name,Description,Start Date,End Date,Start Time
Southwest Asian and North African (SWANA) Heritage Month,MICA is excited to announce the University of Maryland's first ever campus-wide celebration of Southwest Asian and North African (SWANA) Heritage Month in April 2024,Mon Apr 01,Tue Apr 30,12:00 AM
Breathwork and Meditation Retreat for UMD Students!,"Unlock your full potential by experiencing powerful research-backed breathwork and meditation techniques that lead to reduced anxiety and depression, improved sleep, and increased well-being.",Fri Apr 19,Sun Apr 21,12:00 AM
Moving with Screens + Machines: A Symposium on Embodied Practices and Technology,Join us for a thought-provoking symposium on the relationship between embodied practices and technology.,Sat Apr 20,Sat Apr 20,12:00 AM
Echoes from the Archive,Echoes from the Archive -- The Driskell Center Archives Symposium,Sat Apr 20,Sat Apr 20,12:00 AM
National Weather Service Storm Spotter Basics Class,National Weather Service Storm Spotter Basics Class,Sat Apr 20,Sat Apr 20,12:00 AM
Chapel Open House,Come tour the Chapel!,Sat Apr 20,Sat Apr 20,12:00 AM
Are We At War Yet?,"With an air of wit and a twinge of anxiety, Mikhail Durnenkov’s Are We At War Yet is a distinctly Russian narrative exploring everyday issues like the threat of war and the psychological effects of propaganda.",Sat Apr 20,Sat Apr 20,12:00 AM
Conductors' Concert: UMD Wind & Symphony Orchestra,The UMD Symphony Orchestra and UMD Wind Orchestra combine for this concert led by members of the graduate conducting studios.,Sat Apr 20,Sat Apr 20,12:00 AM
Are We At War Yet?,"With an air of wit and a twinge of anxiety, Mikhail Durnenkov’s Are We At War Yet is a distinctly Russian narrative exploring everyday issues like the threat of war and the psychological effects of propaganda.",Sun Apr 21,Sun Apr 21,12:00 AM
Toho Koto Society Concert,"Directed by Kyoko Okamoto, the UMD Japanese Koto Ensemble features elegant music played on the koto, a traditional Japanese 13-string instrument.",Sun Apr 21,Sun Apr 21,12:00 AM
Florencia en el Amazonas: Maryland Opera Studio,"Journey down the Amazon River aboard the steamboat El Dorado in Daniel Catán’s opera that explores themes of longing, self-discovery and the connection between art and the natural world.",Sun Apr 21,Sun Apr 21,12:00 AM
"Spring Choral Collage: Tactus, Treble Choir & University Chorale","An evening of eclectic repertoire presented by Tactus, the UMD Treble Chorus and University Chorale that will be sure to inspire choral lovers of all ages.",Sun Apr 21,Sun Apr 21,12:00 AM
Introduction to High-Performance Computing,"This workshop is targeted at new users of the University's ""Zaratan"" cluster and at those users who want to refresh/improve parameter settings in their job scripts. This ""lunch-time"" workshop is divided into 2 parts.",Mon Apr 22,Mon Apr 29,12:00 AM
Guided Visualization Meditation Sessions,"Join us as we journey from evergreen forests, to moonlit oceans, to galaxies far, far away - all without leaving the comfort of our own seats. Participants will be guided through peaceful and relaxing imagery to soothe the senses and calm the mind.",Mon Apr 22,Mon Apr 22,12:00 AM
The Wellness Series: Taking Control of Your Thoughts,"We’ll help you control your thoughts so they are not controlling you. This session will provide concrete techniques for recognizing, understanding, and altering unhelpful patterns of thinking.",Mon Apr 22,Mon Apr 22,12:00 AM
Language House Language Chats,"At the Language House Language Chats you get a chance to practice, improve, or share your language skills in an informal, relaxed setting.",Mon Apr 22,Mon Apr 22,12:00 AM
Korean Drumming Concert,Experience the vibrant beat of samulnori under the direction of Sebastian Wang.,Mon Apr 22,Mon Apr 22,12:00 AM
Common Startup Founder Mistakes and How (to Try) to Avoid Them,Common Startup Founder Mistakes and How (to Try) to Avoid Them,Tue Apr 23,Tue Apr 23,12:00 AM
Create Web Apps with ArcGIS Experience Builder,Create Web Apps with ArcGIS Experience Builder,Tue Apr 23,Tue Apr 23,12:00 AM
The Wellness Series: Pay Attention! Tips to Improve Focus,"In a world full of distractions, it’s easy to lose focus. This session will provide helpful strategies to improve concentration and let go of distractions.",Tue Apr 23,Tue Apr 23,12:00 AM
Contemporary Art Collection Tour,"Join Stamp Gallery staff on a tour of the STAMP’s own student-lead art collection, the CAPP Collection, on the last Tuesday of every month from 5-5:30 pm, followed by refreshments in the Stamp Gallery",Tue Apr 23,Tue Apr 23,12:00 AM
Kinship & (Be)Longing: Confronting Slavery's Archive Through Critical Black Digital Humanities (MITH Digital Dialogue),"Join MITH on Tuesday April 23 at 12:30pm ET for Kinship & (Be)Longing: Confronting Slavery's Archive Through Critical Black DH, a Digital Dialogues roundtable featuring the Keywords for Black Louisiana project team.",Tue Apr 23,Tue Apr 23,12:00 AM
Persian Dance Workshop,De-stress and get creative! Learn the art of Persian dance with instructor Sarah Mesri. No experience required.,Tue Apr 23,Tue Apr 23,12:00 AM
SEE A Minute To Win It: Lego Edition,A Minute To Win It challenges for a Lego Set,Tue Apr 23,Tue Apr 23,12:00 AM
TEST-udo Trivia Night: BEYONCÉ,Think you know everything there is to know about Beyoncé?,Tue Apr 23,Tue Apr 23,12:00 AM
Denim Day,"For the past 20 years, Denim Day has been used internationally to make a statement in support of survivors during SAAM.",Wed Apr 24,Wed Apr 24,12:00 AM
LEAP Preschool Program Touring Dates,The LEAP Preschool Program is hosting touring dates on Wednesdays from 11am to 12pm weekly!,Wed Apr 24,Wed Apr 24,12:00 AM
Data Help Desk: GIS,Data Help Desk: GIS,Wed Apr 24,Wed Apr 24,12:00 AM
The Wellness Series: Skills for Socializing,"We often meet new people, but it's not always easy to make new friends. This session will focus on the ins and outs of making friends, including tips for approaching new people and progressing from acquaintances to friends. We know it's hard to put y",Wed Apr 24,Wed Apr 24,12:00 AM
Virtual Information Session: Master of Science & Graduate Certificate in Geospatial Intelligence,Information Session: Master of Science and Graduate Certificate in Geospatial Intelligence,Wed Apr 24,Wed Apr 24,12:00 AM
SEE Spring Movie Series Part 2: Ratatouille,SEE is showing Ratatouille on 4/24 and 4/25.,Wed Apr 24,Thu Apr 25,12:00 AM
Friendship Bracelet Making,Grab your friends and learn to make friendship bracelets. Already know how? Come get your creativity on with free supplies!,Wed Apr 24,Wed Apr 24,12:00 AM
Jazz Jam with The Hall CP,Welcome the warm weather with this new monthly jazz jam session led by D.C.-based saxophonist Elijah Balbed!,Wed Apr 24,Wed Apr 24,12:00 AM
Are We At War Yet?,"With an air of wit and a twinge of anxiety, Mikhail Durnenkov’s Are We At War Yet is a distinctly Russian narrative exploring everyday issues like the threat of war and the psychological effects of propaganda.",Wed Apr 24,Wed Apr 24,12:00 AM
UMD Percussion Ensemble Concert,"Usually positioned at the back of the orchestra, members of the percussion section move center stage to reveal the colorful, melodic potential of their instruments in this striking concert of contemporary music.",Wed Apr 24,Wed Apr 24,12:00 AM
Data Help Desk: Data Science,Data Help Desk: Data Science,Thu Apr 25,Thu Apr 25,12:00 AM
Introduction to High-Performance Computing at UMD,"This workshop is targeted at new users of the university's high-performance computing resources, especially those with limited or no HPC experience.",Thu Apr 25,Thu Apr 25,12:00 AM
Six Essential Steps for Web Accessibility - April Lunch and Learn Webinar Series,Learn how to implement crucial elements of the six essential steps in your online content.,Thu Apr 25,Thu Apr 25,12:00 AM
Opera al Fresco,Drop in for some light opera in The Clarice's expansive indoor Grand Pavilion.,Thu Apr 25,Thu Apr 25,12:00 AM
Difficult Dialogues,"How do you handle difficult, sensitive, or controversial subjects when they come up in class? In this workshop, we will explore a variety of ways to respond while respecting and supporting all students.",Thu Apr 25,Thu Apr 25,12:00 AM
Back to Basics Meditation Session,"Explore a variety of simple meditation techniques such as focused breathing, body scans, noting, and visualizations. Whether you are new to meditation or wanting to enhance your already existing practice, this session is for you.",Thu Apr 25,Thu Apr 25,12:00 AM
Seminar: Advances in Atmospheric Science Education Research (ASER): A Look at the Role of Cognition in Learning Meteorology,Dr. Peggy McNeal: Towson University. This talk is part of the Atmospheric and Oceanic Science Seminar series.,Thu Apr 25,Thu Apr 25,12:00 AM
"Qahwa Corner: Let’s See Each Other, a Mental﻿ Health Chat with Imam Tarif","Let's talk mental health in this current moment. What does it look like to balance school, life, family, current events, etc. - but give everything the attention it deserves? Is it even possible?",Thu Apr 25,Thu Apr 25,12:00 AM
The Wellness Series: Managing Imposter Syndrome,"Learn what imposter syndrome is, why it occurs, and the skills to work on overcoming it, so you can go from self-doubt to confidence.",Thu Apr 25,Thu Apr 25,12:00 AM
Virtual Information Session: Master of Science in GIS and Graduate Certificate in GIS or Remote Sensing,Virtual Information Session: Master of Science in GIS & Graduate Certifcate in GIS or Remote Sensing,Thu Apr 25,Thu Apr 25,12:00 AM
"SLA Invited Talk: ""The impact of social bias in adult learning of the pronunciation patterns of a new language""","SLA Invited Talk: ""The impact of social bias in adult learning of the pronunciation patterns of a new language""",Thu Apr 25,Thu Apr 25,12:00 AM
Paint Night at Studio A,Express yourself at Studio A's Paint Nights!,Thu Apr 25,Thu Apr 25,12:00 AM
Spring Piano Division Showcase,The UMD School of Music’s prestigious and highly selective Piano Division showcases its talented students in this semesterly performance of solo and collaborative works.,Thu Apr 25,Thu Apr 25,12:00 AM
Are We At War Yet?,"With an air of wit and a twinge of anxiety, Mikhail Durnenkov’s Are We At War Yet is a distinctly Russian narrative exploring everyday issues like the threat of war and the psychological effects of propaganda.",Thu Apr 25,Thu Apr 25,12:00 AM
Parren J. Mitchell Symposium,"""Controlling the narrative: Counter-storytelling and community-engaged research for families of color""",Fri Apr 26,Fri Apr 26,12:00 AM
Wind Down for the Weekend Meditation,"Sessions will explore breathing practices and various meditation styles, along with time for guided reflection.",Fri Apr 26,Fri Apr 26,12:00 AM
Film Screening: Birthing Justice,"The College of Arts and Humanities and the School of Public Health co-host a screening of ""Birthing Justice,"" a feature-length documentary discussing the issues fueling the maternal health crisis within the African American community.",Fri Apr 26,Fri Apr 26,12:00 AM
Glow Night at the TerpZone,Light up the night!,Fri Apr 26,Fri Apr 26,12:00 AM
Are We At War Yet?,"With an air of wit and a twinge of anxiety, Mikhail Durnenkov’s Are We At War Yet is a distinctly Russian narrative exploring everyday issues like the threat of war and the psychological effects of propaganda.",Fri Apr 26,Fri Apr 26,12:00 AM
Maryland Day 2024,Five learning neighborhoods. Hundreds of activities. One unforgettable day of fun and discovery.,Sat Apr 27,Sat Apr 27,12:00 AM
University of Maryland at Steinway Hall: A Piano Showcase,The Piano Division of the School of Music is proud to present exceptional young artists from an array of degree programs at Steinway Hall in New York City.,Sun Apr 28,Sun Apr 28,12:00 AM
Spring Choral Showcase: UMD Chamber Singers • IN-PERSON,The UMD Chamber Singers are one of the nation’s most honored and respected collegiate ensembles with a choral repertoire that spans over 500 years of music history.,Sun Apr 28,Sun Apr 28,12:00 AM
Spring Choral Showcase: UMD Chamber Singers • LIVESTREAM,The UMD Chamber Singers are one of the nation’s most honored and respected collegiate ensembles with a choral repertoire that spans over 500 years of music history.,Sun Apr 28,Sun Apr 28,12:00 AM
Guided Visualization Meditation Sessions,"Join us as we journey from evergreen forests, to moonlit oceans, to galaxies far, far away - all without leaving the comfort of our own seats. Participants will be guided through peaceful and relaxing imagery to soothe the senses and calm the mind.",Mon Apr 29,Mon Apr 29,12:00 AM
ATLAS Monthly Speaker Series (April 2024): Free African Language Resources,"Learn about the NFLC-UMD's free resources for African language learning and maintenance. If you are a language learner or teach languages, you won’t want to miss this session about language learning resources that are available to you.",Mon Apr 29,Mon Apr 29,12:00 AM
Introduction to High-Performance Computing,"This workshop is targeted at new users of the University's ""Zaratan"" cluster and at those users who want to refresh/improve parameter settings in their job scripts. This ""lunch-time"" workshop is divided into 2 parts.",Mon Apr 29,Mon May 06,12:00 AM
Language House Language Chats,"At the Language House Language Chats you get a chance to practice, improve, or share your language skills in an informal, relaxed setting.",Mon Apr 29,Mon Apr 29,12:00 AM
Queer in the Workplace,A panel discussion and networking session about being queer in the workplace.,Mon Apr 29,Mon Apr 29,12:00 AM
Queer in the Workplace,Gain valuable insights and experiences to those navigating being Queer in the Workplace.,Mon Apr 29,Mon Apr 29,12:00 AM
SWANA Heritage Month Closing Gala & Keynote,"Music, food, and more! Join MICA for the very first SWANA Heritage Month Closing Gala, featuring keynote Zoulfa Katouh and performances by UMD student poet Rasha Alkhateeb, Malakat Aldabke dance troupe, and the Azul Band!",Mon Apr 29,Mon Apr 29,12:00 AM
PCDI Affinity Space,"The affinity space for individuals who identify as part of the Disability Community will be held biweekly. This will be a space for conversation, games, and connection.",Mon Apr 29,Mon Apr 29,12:00 AM
Bowling Tournament,Come to TerpZone and show off your bowling skills!,Mon Apr 29,Mon Apr 29,12:00 AM
Common Quandaries: LinkedIn Job Searching Workshop,Common Quandaries: LinkedIn Job Searching Workshop,Tue Apr 30,Tue Apr 30,12:00 AM
Creating a Successful Big Question (Formerly I-Series) Course,Are you a faculty member who is thinking of developing a Big Question (formerly I-Series) course for the General Education Program?,Tue Apr 30,Tue Apr 30,12:00 AM
2024 Do Good Challenge Finals,"The Do Good Institute is thrilled to invite you to the Do Good Challenge Finals on Tuesday, April 30, 2024 at the University of Maryland, College Park.",Tue Apr 30,Tue Apr 30,12:00 AM
"Good Morning, Commuters!",FREE breakfast for off-campus students!,Wed May 01,Wed May 01,12:00 AM
LEAP Preschool Program Touring Dates,The LEAP Preschool Program is hosting touring dates on Wednesdays from 11am to 12pm weekly!,Wed May 01,Wed May 01,12:00 AM
Data Help Desk: GIS,Data Help Desk: GIS,Wed May 01,Wed May 01,12:00 AM
Wind Down Wednesday,A mid-week getaway!,Wed May 01,Wed May 01,12:00 AM
The Wellness Series: Effective Communication Skills,"Communication is at the core of all of our relationships. Explore the different styles of communication, see which styles you use the most, and learn about best practices for communicating with the people around you.",Wed May 01,Wed May 01,12:00 AM
Final Jazz Showcase,Join us for this family favorite jazz concert marking the end-of-year finale for the UMD School of Music’s jazz ensembles!,Wed May 01,Wed May 01,12:00 AM
Data Help Desk: Data Science,Data Help Desk: Data Science,Thu May 02,Thu May 02,12:00 AM
UMD's Inaugural Big Queer Photo,"Join the LGBTQ+ Equity Center and students, faculty and staff from across campus for our first annual Big Queer Photo on Thursday, May 2, 2024 from 12:15-1:15pm. Registration for a t-shirt closes on April 1, 2024.",Thu May 02,Thu May 02,12:00 AM
Bach Cantata Series: UMD Choral Acitivities,"J.S. Bach, known as the great master, wrote more than 200 cantatas, and UMD Choral Activities aims to sing them all in this series of short performances led by conductors in the graduate program.",Thu May 02,Thu May 02,12:00 AM
